POWER_DEMAND,temp,feelslike,dew,humidity,precipprob,windgust,windspeed,sealevelpressure,cloudcover,visibility,uvindex,preciptype_rain
7897,38.8,38.6,12.9,23.3,0,46.4,18.4,999.2,34.8,4.4,10,False
8088,37.8,38.4,16.1,28.6,0,47.2,24.0,998.8,47.8,3.8,10,False
7680,38.3,38.8,15.5,27.8,0,46.4,27.7,998.7,26.9,4.4,10,False
7786,39.1,40.1,16.1,27.6,0,46.4,24.8,999.1,11.9,4.2,10,False
8155,39.5,41.0,17.5,28.7,0,41.0,23.5,999.0,17.3,4.2,10,False
8568,39.5,42.2,18.9,31.1,0,42.8,25.2,996.8,23.5,4.1,9,False
8548,38.9,42.4,19.5,33.1,0,55.4,27.6,995.0,35.0,4.2,9,False
7710,33.7,36.6,20.2,45.9,0,46.4,18.4,997.5,55.3,4.0,9,False
7642,31.9,36.3,22.8,60.4,100,37.1,14.8,999.4,65.0,3.4,9,True
6900,33.2,38.1,22.8,55.7,0,11.2,16.6,999.4,62.1,2.8,9,False
7262,33.5,40.4,24.2,59.2,100,37.1,18.4,1000.1,62.5,3.0,8,True
7472,33.2,41.5,25.4,65.3,100,51.8,18.4,999.0,85.8,3.0,9,True
7592,33.8,42.4,25.5,63.3,0,19.4,11.2,997.8,78.9,2.8,9,True
7695,33.0,41.7,25.7,66.0,100,23.4,18.4,998.5,82.9,2.8,9,True
7145,31.1,39.1,26.1,76.4,100,33.5,22.3,1001.0,77.7,5.8,3,True
6694,28.9,35.0,26.3,86.7,100,18.4,18.4,1000.2,79.6,2.8,4,True
6125,30.3,39.6,27.2,84.1,100,29.5,14.0,998.6,73.1,2.8,7,True
6777,32.6,43.9,27.6,76.1,0,20.9,14.8,998.0,66.3,2.7,8,True
7196,32.1,41.4,26.4,72.6,0,22.7,11.2,995.9,65.8,3.7,9,True
7250,33.0,43.1,26.6,70.0,100,21.2,14.8,994.2,88.5,4.5,9,True
6835,29.5,37.2,27.0,87.2,100,37.1,14.8,997.2,81.7,2.9,6,True
6055,28.6,35.4,26.8,90.2,100,25.6,11.2,999.8,85.5,3.0,8,True
6246,29.6,38.3,27.3,87.4,100,35.3,18.4,996.8,82.7,3.4,8,True
5947,29.7,37.8,26.9,85.4,100,37.4,14.8,995.7,84.0,3.1,9,True
5579,29.8,35.2,24.9,76.4,0,41.0,18.4,999.1,71.3,4.2,6,False
5735,28.3,32.6,25.0,83.2,0,37.1,18.4,1002.0,61.7,4.3,7,True
5968,29.6,38.0,27.1,87.0,100,19.1,18.4,1002.8,70.2,3.1,9,True
6313,30.8,41.1,27.7,85.0,100,33.5,14.8,1002.5,80.2,2.6,9,True
7448,33.5,44.3,27.1,72.2,100,29.5,11.2,998.4,55.4,4.5,9,True
7079,31.4,37.1,23.9,64.7,0,29.5,16.6,997.0,74.1,4.1,9,True
6470,30.3,37.5,25.9,77.9,100,46.4,11.3,997.8,66.7,3.5,9,True
6780,32.3,41.5,26.5,73.1,100,18.7,13.0,997.6,59.6,3.3,9,True
6900,31.3,41.4,27.2,79.3,100,29.5,14.8,1000.1,57.6,2.8,9,True
7375,33.2,44.8,27.5,73.5,0,23.4,18.4,1000.6,49.8,3.5,9,False
7267,32.7,45.1,28.0,77.1,0,29.2,14.7,1000.7,41.9,3.7,9,False
7031,31.0,41.7,27.8,83.6,100,37.1,18.4,999.4,67.3,3.1,9,True
7316,31.5,43.1,28.1,82.9,0,21.6,14.8,998.2,55.1,2.9,9,False
7194,32.4,42.4,27.0,75.1,100,15.8,11.2,999.0,46.1,3.4,9,True
7123,32.6,45.0,28.0,77.0,100,22.3,20.5,998.7,64.0,3.6,6,True
6922,30.9,41.7,27.9,84.8,100,31.3,16.6,999.1,70.2,3.4,8,True
7095,31.4,43.7,28.4,84.5,100,25.6,11.2,998.0,56.3,2.9,9,True
6920,30.0,39.2,27.6,87.5,100,17.6,14.8,994.8,74.6,2.6,8,True
7036,31.2,42.2,27.9,83.8,100,16.9,9.4,994.0,70.3,3.0,9,True
6949,30.9,42.0,28.1,85.7,100,18.4,11.2,995.4,84.6,3.1,9,True
6853,31.3,43.5,28.5,85.7,0,18.7,16.6,997.6,78.6,2.7,9,False
7123,33.0,44.3,27.5,74.6,100,26.6,14.8,997.8,57.0,3.7,9,True
7730,33.6,45.0,27.2,70.6,0,29.9,16.6,998.0,44.6,4.2,9,False
7862,34.4,46.7,27.5,68.8,0,24.5,13.0,999.3,49.5,4.0,9,False
8097,31.9,41.9,27.4,78.7,100,31.7,18.4,999.3,74.2,3.5,7,True
6475,28.8,34.2,26.0,85.6,100,33.8,11.2,999.5,91.4,3.9,7,True
6405,29.7,38.4,27.1,86.3,100,31.7,13.0,997.7,79.3,3.5,9,True
6292,30.3,38.5,26.6,81.5,100,36.0,16.6,999.5,66.6,4.2,8,True
6274,30.5,37.6,25.9,77.8,100,46.4,18.4,1001.4,78.0,3.9,8,True
6461,30.0,37.6,26.1,80.1,0,45.4,20.5,1000.7,66.4,3.9,8,True
6577,30.0,37.0,26.0,80.1,0,30.2,13.0,999.7,73.6,4.5,7,True
6232,28.1,34.5,26.8,92.6,100,23.8,11.2,1000.8,94.2,3.4,7,True
6171,28.5,34.7,26.6,89.8,100,23.8,18.4,1002.4,90.4,3.4,8,True
6465,29.0,36.5,26.9,89.1,100,20.5,13.0,1003.3,89.2,2.8,8,True
5793,28.9,36.5,27.0,90.0,100,24.8,13.0,1002.6,74.8,2.8,8,True
5646,27.3,31.6,26.3,94.3,100,28.1,14.8,1001.4,95.3,2.6,7,True
5445,27.5,32.7,26.7,95.2,100,25.9,13.0,1002.7,89.4,2.8,7,True
